id,fichier,artiste,organisation,adresse,annee,programme_entente,latitude,longitude,image,arrondissement
1,MU-CentreSaintReneGoupil.jpg,Yannick Picard,MU,"4105, 47e rue (coin Pie IX)",2007,Programme graffitis et murales,45.58041,-73.622218,http://depot.ville.montreal.qc.ca/murales/MU-CentreSaintReneGoupil.jpg,Villeray—Saint-Michel—Parc-Extension
2,CDU-MissionOldBrewery–40eExpo67.jpg,Simon Bachand et Jasmin Guérard-Alie,Corporation de développement urbain Faubourg Saint-Laurent,coin des rues Saint-Laurent et Viger,2007,Programme graffitis et murales,45.506855,-73.558029,http://depot.ville.montreal.qc.ca/murales/CDU-MissionOldBrewery–40eExpo67.jpg,Ville-Marie
3,MU-PrinceArthur-DeBullion.jpg,Carlito Dalceggio,MU,"3 601, rue De Bullion (coin Prince-Arthur)",2008,Programme graffitis et murales,45.515387,-73.571347,http://depot.ville.montreal.qc.ca/murales/MU-PrinceArthur-DeBullion.jpg,Le Plateau-Mont-Royal
4,MU-Murale-7255Lajeunesse-Villeray_S.jpg,Dominique Desbiens,MU,"7255, Lajeunesse (coin Jean-Talon)",2008,Programme graffitis et murales,45.539966,-73.614816,http://depot.ville.montreal.qc.ca/murales/MU-Murale-7255Lajeunesse-Villeray_S.jpg,Villeray—Saint-Michel—Parc-Extension
5,MU-Bouillonsculture-YannickPicard.jpg,Yannick Picard,MU,"8090, rue des Érables",2008,Programme graffitis et murales,45.555841,-73.616364,http://depot.ville.montreal.qc.ca/murales/MU-Bouillonsculture-YannickPicard.jpg,Villeray—Saint-Michel—Parc-Extension
6,CDU-ClubSoda.jpg,Simon Bachand et Jasmin Guérard-Alie,Corporation de développement urbain Faubourg Saint-Laurent,coin des rues Sainte-Catherine et Saint-Dominique,2008,Programme graffitis et murales,45.510131,-73.563033,http://depot.ville.montreal.qc.ca/murales/CDU-ClubSoda.jpg,Ville-Marie
7,SDCVillage-HotelBourbon.jpg,Jasmin Guérard-Alie et Simon Bachand,SDC du Village,coin des rues Sainte-Catherine et Champlain,2008,Programme graffitis et murales,45.52159,-73.552993,http://depot.ville.montreal.qc.ca/murales/SDCVillage-HotelBourbon.jpg,Ville-Marie
8,r_MU_HJM_2009_Winter_Haze_Final_03_XS2.jpg,Phillip Adams et David Guinn,MU,"235-255, rue de Maisonneuve Est",2009,Programme graffitis et murales,45.512805,-73.563467,http://depot.ville.montreal.qc.ca/murales/r_MU_HJM_2009_Winter_Haze_Final_03_XS2.jpg,Ville-Marie
9,CHJM_MURAL1.jpg,Phillip Adams et David Guinn,MU,"123-143, rue de Maisonneuve Est",2009,Programme graffitis et murales,45.511845,-73.564395,http://depot.ville.montreal.qc.ca/murales/CHJM_MURAL1.jpg,Ville-Marie
10,SPAG_Vittorio.jpg,Laurent Gascon,Société pour Promouvoir les Arts Gigantesques (SPAG),coin des rues Ontario et Florian,2009,Programme graffitis et murales,45.537347,-73.55023,http://depot.ville.montreal.qc.ca/murales/SPAG_Vittorio.jpg,Ville-Marie
11,SPAG-PaulBuissonneau.jpg,Laurent Gascon,Société pour Promouvoir les Arts Gigantesques (SPAG),coin des rues Ontario Est et Beaudry,2010,Programme graffitis et murales,45.521528,-73.562318,http://depot.ville.montreal.qc.ca/murales/SPAG-PaulBuissonneau.jpg,Ville-Marie
12,MJE-EcoleDalbeViau.jpg,Jasmin Guérard-Alie et Simon Bachand,Maison des Jeunes l'Escalier de Lachine,"740, rue Esther Blondin, Lachine",2010,Programme graffitis et murales,45.443011,-73.682013,http://depot.ville.montreal.qc.ca/murales/MJE-EcoleDalbeViau.jpg,Lachine
13,MU-HabitationsJM-2010.jpg,Phillip Adams et David Guinn,MU,"144-154, boulevard de Maisonneuve Est",2010,Programme graffitis et murales,45.5116,-73.563716,http://depot.ville.montreal.qc.ca/murales/MU-HabitationsJM-2010.jpg,Ville-Marie
14,MU_Parc-Extension-2010.jpg,Annie Hamel,MU,"440, avenue Ball",2010,Programme graffitis et murales,45.531916,-73.631461,http://depot.ville.montreal.qc.ca/murales/MU_Parc-Extension-2010.jpg,Villeray—Saint-Michel—Parc-Extension
15,r_MU_HJM_2010_SPIRALES_Final_02_XL.jpg,Laurence Petit et Christian Robert de Massy,MU,"200, rue Ontario Est",2010,Programme graffitis et murales,45.513105,-73.564676,http://depot.ville.montreal.qc.ca/murales/r_MU_HJM_2010_SPIRALES_Final_02_XL.jpg,Ville-Marie
16,SPAG-Raymond-Levesque.jpg,Laurent Gascon,Société pour Promouvoir les Arts Gigantesques (SPAG),"1970, rue Ontario Est, entre les rues Dorion et Bordeaux",2011,Programme graffitis et murales,45.527265,-73.558309,http://depot.ville.montreal.qc.ca/murales/SPAG-Raymond-Levesque.jpg,Ville-Marie
17,PrevCDN-NDG-OurLadyofGrace.jpg,"Fluke, Guillaume Lapointe, Antonin Lambert, Dodo et Bruno Rathbone",Prévention Côte-des-Neiges-Notre-Dame-de-Grâce,"6310, rue Sherbrooke Ouest, coin Madison",2011,Programme graffitis et murales,45.465684,-73.624904,http://depot.ville.montreal.qc.ca/murales/PrevCDN-NDG-OurLadyofGrace.jpg,Côte-Des-Neiges—Notre-Dame-De-Grâce
18,MU_BerriCherrier_Sottolichio.jpg,Rafael Sottolichio,MU,"450, rue Cherrier (coin Berri)",2011,Programme graffitis et murales,45.518726,-73.569259,http://depot.ville.montreal.qc.ca/murales/MU_BerriCherrier_Sottolichio.jpg,Le Plateau-Mont-Royal
19,Murale-Lachine2011.jpg,Simon Bachand et Jasmin Guérard-Alie,RUI St-Pierre,"183, rue des Érables",2011,Programme graffitis et murales,45.44569,-73.651474,http://depot.ville.montreal.qc.ca/murales/Murale-Lachine2011.jpg,Lachine
